http://en.wikipedia.org/wiki/Centipede	5	44
http://en.wikipedia.org/wiki/Lucretia_Maria_Davidson	2	54
http://en.wikipedia.org/wiki/The_Linguists	7	41
http://en.wikipedia.org/wiki/Upside-down_catfish	3	51
http://en.wikipedia.org/wiki/Government_General_Hospital,_Chennai	9	52
http://en.wikipedia.org/wiki/Third_Test,_1932%E2%80%9333_Ashes_series	10	69
http://en.wikipedia.org/wiki/Mick_Hubert	6	49
http://en.wikipedia.org/wiki/Viscoelasticity	1	36
http://en.wikipedia.org/wiki/Euler-Bernoulli_beam_equation	3	47
http://en.wikipedia.org/wiki/Probability	3	41
http://en.wikipedia.org/wiki/White_collar_boxing	7	53
http://en.wikipedia.org/wiki/New_York_City	6	50
http://en.wikipedia.org/wiki/Death	3	39
http://en.wikipedia.org/wiki/God	4	45
http://en.wikipedia.org/wiki/Chair	9	64
http://en.wikipedia.org/wiki/Manorialism	3	34
http://en.wikipedia.org/wiki/Tang_dynasty	4	37
http://en.wikipedia.org/wiki/Sweden	6	47
http://en.wikipedia.org/wiki/Svalbard	5	41
http://en.wikipedia.org/wiki/Whaling	7	49
http://en.wikipedia.org/wiki/Legal	3	40
http://en.wikipedia.org/wiki/Jurisprudence	4	43
http://en.wikipedia.org/wiki/Wikipedia	2	30
